	SRR1927149	SRR1929485
K00769	1180	78
K00772	471	191
K00773	9086	2027
K00782	1278	427
K00783	3686	780
K00784	5131	1616
K00786	4509	1236
K00788	3456	1137
K00789	12210	2707
K00790	9619	2422
K00791	9476	2252
K00793	4044	764
K00794	3174	599
K00795	2814	117
K00796	4905	1215
K00797	877	480
K00798	665	219
K00799	111	307
K00800	9020	1859
K00801	3738	165
K00803	754	345
K00805	1063	338
K00806	6140	1484
K00809	974	371
K00812	7084	2151
K00813	8	129
K00817	7098	1511
K00818	15	0
K00820	14585	3160
K00821	8710	1712
K00823	396	167
K00824	757	192
K00826	9213	1913
K00830	1041	94
K00831	9253	1951
K00832	3701	483
K00833	4772	492
K00835	400	251
K00836	28	26
K00838	39	7
K00840	20	83
K00841	9	6
K00844	717	257
K00845	12355	3150
K00847	9079	2324
K00848	3508	1094
K00849	7694	2195
K00850	7409	1545
K00851	39	100
K00852	2386	558
K00853	6067	1500
K00854	6552	1861
K00855	17	128
K00856	1086	306
K00857	2573	922
K00858	5791	1241
K00859	5198	913
K00860	124	123
K00863	335	31
K00864	2921	1674
K00865	3302	1235
K00867	2445	152
K00868	3948	1045
K00869	22	8
K00872	3060	279
K00873	12378	1969
K00874	5886	1973
K00875	7	116
K00876	10204	3425
K00878	1054	670
K00879	140	231
K00880	13	124
K00881	26	119
K00882	1082	711
K00883	40	97
K00884	48	107
K00885	5	73
K00886	2437	28
K00887	72	33
K00891	4195	1082
K00892	12	126
K00894	10	0
K00895	3882	1043
K00897	136	3
K00899	75	25
K00901	1350	120
K00903	1598	256
K00906	18	161
K00907	3	11
K00912	5691	1025
K00917	511	135
K00919	6181	1254
K00925	10393	2415
K00926	903	475
K00927	10774	2706
K00928	10399	2020
K00929	3294	642
K00930	5350	1286
K00931	6131	1300
K00932	16	160
K00936	436	270
K00937	9759	2415
K00939	5650	1411
K00940	1755	303
K00941	5449	1711
K00942	6896	1300
K00943	4157	747
K00945	10022	2693
K00946	5706	959
K00948	9778	1882
K00949	2286	627
K00950	4748	711
K00951	25590	6151
K00952	0	39
K00953	17	31
K00954	4738	974
K00955	98	17
K00956	886	712
K00957	2735	501
K00958	18	5
K00960	104	14
K00962	20469	5221
K00963	3435	711
K00965	3291	770
K00966	365	132
K00967	194	241
K00968	1502	236
K00969	5953	1392
K00970	6924	1395
K00971	8904	2344
K00972	552	313
K00973	9186	2589
K00974	6626	1222
K00975	14391	2010
K00978	2645	250
K00979	5380	616
K00980	912	183
K00981	7379	1540
K00982	7482	306
K00983	362	16
K00984	70	0
K00986	23313	7375
K00989	197	276
K00990	7969	343
K00991	5688	1468
K00992	3707	301
K00995	3824	998
K00996	1602	525
K00997	370	192
K00998	4370	215
K01000	10366	2376
K01002	5255	578
K01006	16529	5960
K01007	1001	539
K01008	617	249
K01011	5	65
K01012	5489	1057
K01023	110	12
K01026	87	194
K01028	335	79
K01034	240	128
K01035	317	157
K01039	68	45
K01040	34	20
K01042	50	113
K01046	986	317
K01048	5580	879
K01051	12190	2232
K01054	227	54
K01055	109	10
K01056	4466	1166
K01058	109	183
K01060	1460	471
K01061	43	255
K01062	66	6
K01066	2311	346
K01067	594	227
K01068	32	0
K01069	5338	1689
K01070	89	199
