	SRR1927149	SRR1929485
K00571	1456.898	421.71
K00573	15.993	9.224
K00574	57.091	31.81
K00575	413.14	40.76
K00584	5.5	0
K00587	17.32	18.844
K00588	257.89	101.067
K00590	233.014	128.146
K00591	17.488	1.091
K00595	138.464	31.859
K00598	54.265	25.626
K00600	1065.366	296.432
K00602	1104.967	327.491
K00603	49.52	8.24
K00604	768.406	222.558
K00605	257.714	84.224
K00606	503.748	98.206
K00609	830.669	232.615
K00610	543.815	112.289
K00611	666.804	139.218
K00612	23.774	0.937
K00615	1821.11	665.108000000001
K00616	183.869	49.03
K00619	51.43	22.997
K00620	200.546	71.416
K00621	84.778	21.986
K00625	569.201	234.191
K00626	187.489	100.677
K00627	121.073	53.114
K00631	304.622	32.554
K00632	1.82	21.45
K00633	81.589	34.343
K00634	412.651	90.37
K00638	77.321	30.652
K00639	240.916	84.442
K00640	1072.021	372.285
K00641	78.219	27.552
K00645	670.283	220.962
K00647	736.27	118.911
K00648	879.316	176.288
K00651	557.177	111.756
K00652	576.003	130.8355
K00655	793.655	252.499
K00656	1231.918	380.139
K00657	340.515	78.603
K00658	0.726	6.297
K00661	771.774	224.595
K00662	34.146	6.137
K00663	23.901	1.657
K00666	224.097	62.686
K00670	6.895	0
K00673	0.738	16.61
K00674	339.293	29.305
K00675	19.24	8.997
K00677	934.335	229.271
K00681	276.134	31.748
K00683	117.164	35.629
K00684	150.89	63.834
K00687	2.975	0
K00688	1446.485	477.299
K00689	0.456	2.203
K00690	33.684	25.284
K00691	14.158	0
K00692	25.991	12.784
K00694	82.586	12.699
K00695	11.162	0
K00696	13.942	5.402
K00697	1.124	8.09
K00699	1.293	2.027
K00700	1114.786	317.062
K00701	10.29	5.633
K00702	475.867	239.241
K00703	905.561999999999	209.372
K00705	1302.487	440.229
K00712	57.079	50.826
K00718	4.868	4.815
K00720	8.1	0.255
K00721	776.952	238.681
K00727	4.319	0.279
K00728	100.222	9.442
K00729	2.832	3.782
K00737	10.158	1.116
K00743	2.005	0.467
K00745	34.037	14.741
K00748	562.563	143.486
K00750	0	6.681
K00752	15.285	13.796
K00754	403.095	53.957
K00756	203.298	110.42
K00757	351.772	132.182
K00758	3.883	10.809
K00759	641.446	156.694
K00760	489.689	182.454
K00761	738.463999999999	209.234
K00762	800.554	225.55
K00763	410.036	163.321
K00764	1413.098	447.877
K00765	598.968	149.706
K00766	319.406	171.038
K00767	539.89	110.749
K00768	348.853	78.13
K00769	209.827	13.096
K00772	52.33	25.8
K00773	900.63	262.143
K00782	216.931	85.173
K00783	650.822	163.469
K00784	633.986	238.392
K00786	425.328	84.103
K00788	526.582	196.463
K00789	1236.42	347.622
K00790	1027.299	317.345
K00791	1092.754	312.078
K00793	554.82	135.105
K00794	538.563	113.873
K00795	275.206	10.043
K00796	613.528	200.873
K00797	117.035	62.649
K00798	114.006	36.535
K00799	17.32	41.045
K00800	934.767	294.153
K00801	338.186	16.479
K00803	68.279	42.197
K00805	146.903	51.968
K00806	783.539	235.985
K00809	124.703	51.398
K00812	805.851	332.943
K00813	0.469	9.108
K00817	700.967	192.661
K00818	4.105	0
K00820	1228.592	418.413
K00821	911.03	244.42
K00823	30.731	17.674
K00824	101.796	24.007
K00826	1079.622	306.698
K00830	105.149	7.888
K00831	966.29	251.932
K00832	298.904	42.551
K00833	348.931	58.435
K00835	30.61	21.663
K00836	7.673	5.635
K00838	4.224	0.772
K00840	3.945	5.46
K00841	2.109	1.482
K00844	62.44	30.753
K00845	1242.149	363.06
K00847	1101.089	350.124
K00848	340.114	119.101
K00849	756.535	313.678
K00850	809.671	204.369
K00851	7.053	14.948
K00852	253.886	69.488
