	SRR1927149	SRR1929485
COG0305	13066	3480
COG0306	3659	682
COG0307	4038	760
COG0308	6926	372
COG0309	460	277
COG0310	175	122
COG0311	1574	540
COG0312	14494	2027
COG0313	6972	1771
COG0314	10	42
COG0315	425	212
COG0316	1014	172
COG0317	32233	6388
COG0318	17648	2990
COG0319	4657	1011
COG0320	208	174
COG0321	13	79
COG0322	13168	3270
COG0323	14821	2794
COG0324	9477	2256
COG0325	6184	1059
COG0326	15029	3189
COG0327	5191	1076
COG0328	3198	547
COG0329	8757	1894
COG0330	13984	2273
COG0331	6055	1339
COG0332	7874	1364
COG0333	1500	299
COG0334	12119	2885
COG0335	4434	1086
COG0336	6867	1395
COG0337	7522	1464
COG0338	4554	1064
COG0339	16510	3650
COG0340	5589	1362
COG0341	9848	2020
COG0342	12926	2486
COG0343	9140	2050
COG0344	1454	703
COG0345	4855	981
COG0346	2675	784
COG0347	5528	1005
COG0348	5237	2092
COG0349	2549	164
COG0350	4083	818
COG0351	4707	1066
COG0352	3554	747
COG0353	4818	1097
COG0354	11	110
COG0355	2709	436
COG0356	8668	1960
COG0357	4874	1066
COG0358	20215	4633
COG0359	4696	1295
COG0360	4011	828
COG0361	2873	842
COG0362	554	173
COG0363	8758	2992
COG0364	33	140
COG0365	8834	2002
COG0366	88470	11282
COG0367	10838	2127
COG0368	2703	361
COG0369	16	128
COG0370	24566	5906
COG0371	1946	873
COG0372	8776	1329
COG0373	811	555
COG0374	72	362
COG0375	32	122
COG0376	22	213
COG0377	1398	455
COG0378	2100	282
COG0379	5154	1055
COG0380	18	133
COG0381	4719	1535
COG0382	2634	653
COG0383	2742	1649
COG0384	176	122
COG0385	6440	1156
COG0386	810	281
COG0387	21	134
COG0388	15570	3352
COG0389	12920	3397
COG0390	246	116
COG0391	637	532
COG0392	667	420
COG0393	356	243
COG0394	3056	822
COG0395	9992	2259
COG0396	3674	1479
COG0397	10	145
COG0398	819	472
COG0399	12837	3346
COG0400	23	85
COG0401	12	30
COG0402	5916	2181
COG0403	2771	604
COG0404	2552	632
COG0405	4127	287
COG0406	4847	1250
COG0407	59	114
COG0408	16	73
COG0409	34	109
COG0410	4342	981
COG0411	2476	848
COG0412	43	255
COG0413	4177	621
COG0414	4265	752
COG0415	14	105
COG0416	4943	934
COG0417	437	211
COG0418	43	126
COG0419	12877	2410
COG0420	5085	1064
COG0421	829	464
COG0422	7116	1603
COG0423	8026	2804
COG0424	4715	938
COG0425	1515	299
COG0426	6768	2212
COG0427	4902	2341
COG0428	4849	1539
COG0429	165	85
COG0430	3	64
COG0431	16	136
COG0432	738	351
COG0433	2759	1118
COG0434	264	53
COG0435	171	126
COG0436	26693	6919
COG0437	233	696
COG0438	27556	7956
COG0439	7639	898
COG0440	4126	807
COG0441	20309	5584
COG0442	13783	3726
COG0443	21587	6415
COG0444	8050	1684
COG0445	16395	3619
COG0446	7689	2106
COG0447	3739	492
COG0448	14410	2016
COG0449	14766	3157
COG0450	1132	237
COG0451	24275	6022
COG0452	7399	1492
COG0454	7016	1362
COG0455	3789	373
COG0456	3371	680
COG0457	11356	3060
COG0458	29178	6395
COG0459	15371	4336
COG0460	8116	1826
COG0461	5538	1315
COG0462	9779	1890
COG0463	47206	12360
COG0464	16163	2783
COG0465	21886	5459
COG0466	24963	4088
COG0468	10019	2560
COG0469	11990	1793
COG0470	6388	1195
COG0471	16231	5182
COG0472	13323	3678
COG0473	7852	1633
COG0474	16918	4406
COG0475	8020	2746
COG0476	4521	849
COG0477	17808	4918
COG0479	5094	1155
COG0480	55174	17012
COG0481	15772	3578
COG0482	8027	1958
COG0483	2756	338
COG0484	8688	2374
COG0486	10034	2293
COG0488	43070	10576
COG0489	12702	3972
COG0490	3	1
COG0491	6710	1690
COG0492	8234	1660
COG0493	19509	5538
COG0494	17214	3210
COG0495	22350	6043
COG0496	4905	832
COG0497	10920	2909
COG0498	10435	1978
COG0499	1812	505
COG0500	25346	4904
COG0501	16336	1672
COG0502	5483	1042
COG0503	8461	1822
COG0504	14112	3109
COG0505	7634	1572
COG0506	19	138
COG0507	28096	7730
COG0508	784	507
COG0509	1328	308
COG0510	681	156
COG0511	4804	1053
COG0512	5120	682
COG0513	22753	4180
COG0514	18118	6570
COG0515	24960	4942
COG0516	6090	1500
COG0517	10398	2002
COG0518	5914	1256
COG0519	5994	1308
COG0520	6622	2276
COG0521	287	236
COG0522	7456	1781
COG0523	8855	1869
COG0524	19451	5920
COG0525	23142	5384
COG0526	19048	4467
COG0527	16328	3075
COG0528	6464	1326
COG0529	90	74
COG0530	2256	818
COG0531	3786	2818
COG0532	21959	6553
COG0533	7943	1802
COG0534	72906	18384
COG0535	6751	2505
COG0536	9132	2264
COG0537	3712	810
COG0538	8636	1734
COG0539	14650	3731
COG0540	6998	1462
COG0541	11116	2498
COG0542	38220	10700
COG0543	7616	2408
COG0544	12661	3503
COG0545	13140	2924
COG0546	13358	2404
COG0547	4731	1052
COG0548	7291	1420
COG0549	903	475
COG0550	34678	9898
COG0551	6991	1398
COG0552	9070	1677
COG0553	18814	4065
COG0554	2926	1674
COG0555	139	184
COG0556	14966	3622
COG0557	19736	3324
COG0558	4462	1164
COG0559	8153	1197
COG0560	7557	885
COG0561	10164	3734
COG0562	2943	843
COG0563	5894	1363
COG0564	25606	5810
COG0565	2302	317
COG0566	11032	2806
COG0567	50	264
COG0568	21487	5186
COG0569	12457	2921
COG0571	6770	1327
COG0572	6579	2132
COG0573	4517	860
COG0574	17584	6504
COG0575	7390	1471
COG0576	6383	1611
COG0577	19401	5902
COG0578	1017	679
COG0579	2343	815
COG0580	760	451
COG0581	4479	998
COG0582	41879	11438
COG0583	13638	3944
COG0584	5872	2486
COG0585	136	84
COG0586	3751	777
COG0587	36434	6720
COG0588	733	466
COG0589	5834	1158
COG0590	4902	1197
COG0591	15580	3290
COG0592	10696	2162
COG0593	16747	3041
COG0594	2359	435
COG0595	3910	1794
COG0596	8478	1321
COG0597	3571	622
COG0598	8057	1710
COG0599	2364	336
COG0600	2988	358
COG0601	8243	1904
COG0602	5701	1218
COG0603	3265	871
COG0604	1876	248
COG0605	1650	153
COG0606	6015	2466
COG0607	6032	616
COG0608	14648	2686
COG0609	8056	1811
COG0610	34044	4581
COG0611	5706	964
COG0612	20380	6874
COG0613	4167	978
COG0614	5476	1454
COG0615	3140	715
COG0616	13403	1871
COG0617	13132	2535
COG0618	9579	1979
COG0619	3764	1012
COG0620	8348	1301
COG0621	26559	6787
COG0622	4403	763
COG0623	1968	797
COG0624	16983	3611
COG0625	113	606
COG0626	4661	914
COG0627	1137	512
COG0628	12019	2903
COG0629	8999	2193
COG0630	104	100
COG0631	5969	1105
COG0632	4868	1169
COG0633	14	126
COG0634	3126	1064
COG0635	10681	3149
COG0636	2548	588
COG0637	7048	1884
COG0639	4095	508
COG0640	4324	684
COG0641	8738	3149
COG0642	30647	11278
COG0643	9357	1238
COG0644	168	455
COG0645	4	0
COG0646	9303	1610
COG0647	2001	530
COG0648	3493	427
COG0649	1554	547
COG0650	274	344
COG0651	1998	1399
COG0652	7024	1712
COG0653	25204	6957
COG0654	43	432
COG0655	4175	1072
COG0656	8738	1959
COG0657	8843	2177
COG0658	4846	1876
COG0659	9208	1320
COG0661	479	618
COG0662	698	366
COG0663	1201	497
COG0664	8811	2001
COG0665	962	260
COG0666	3126	1454
COG0667	4422	1356
COG0668	11280	3372
COG0669	4700	980
COG0670	2138	1070
COG0671	1877	840
COG0672	32	105
COG0673	12328	3610
COG0674	12680	4237
COG0675	67593	4282
COG0676	51	81
COG0677	1974	907
COG0679	4374	1286
COG0680	12	171
COG0681	10933	3184
COG0682	7658	1571
COG0683	8104	1624
COG0684	56	74
COG0685	5604	1120
COG0686	1334	805
COG0687	10054	1628
COG0688	5091	1061
COG0689	185	274
COG0690	1696	135
COG0691	4052	1013
COG0692	4414	872
COG0693	4067	864
COG0694	1248	134
COG0695	17	104
COG0696	13949	2912
COG0697	19897	4447
COG0698	2624	970
COG0699	1329	632
COG0700	2690	539
COG0701	298	230
COG0702	73	319
COG0703	4315	1162
COG0704	1998	558
COG0705	6246	1035
COG0706	15763	3350
COG0707	9152	2058
COG0708	3537	1311
COG0709	617	249
COG0710	828	492
COG0711	3781	813
COG0712	4268	902
COG0713	719	272
COG0714	16881	2978
COG0715	5128	709
COG0716	6654	2062
COG0717	1556	191
COG0718	2191	581
COG0719	9780	3657
COG0720	1996	380
COG0721	590	288
COG0722	4237	795
COG0723	14	4
COG0724	2729	46
COG0725	774	306
COG0726	7756	2699
COG0727	533	148
COG0728	5505	515
COG0729	4037	195
COG0730	6011	571
COG0731	1975	686
COG0732	23275	3525
COG0733	22417	3987
COG0735	4947	1146
COG0736	371	199
COG0737	14974	3820
COG0738	13046	4250
COG0739	32432	6619
COG0740	10776	1992
COG0741	16037	3144
COG0742	4870	1000
COG0743	9075	1955
COG0744	11626	2882
COG0745	33872	10684
COG0746	25	96
COG0747	11573	2248
COG0749	10982	2880
COG0750	12223	2763
COG0751	8148	884
COG0752	4119	411
COG0753	27	207
COG0754	324	652
COG0755	3918	1114
COG0756	6662	1303
COG0757	3066	428
COG0758	4713	1690
COG0759	1933	254
COG0760	17617	2875
COG0761	7802	1902
COG0762	2152	169
COG0763	6686	1440
COG0764	8069	1136
COG0765	9085	3056
COG0766	9300	2375
COG0767	4740	873
COG0768	31153	8397
COG0769	12036	3199
COG0770	12542	3072
COG0771	11246	2458
COG0772	22126	5303
COG0773	15629	2658
COG0774	5453	921
COG0775	4177	929
COG0776	6906	1483
COG0777	3176	399
COG0778	9913	3745
COG0779	2558	539
COG0780	2773	510
COG0781	4986	1157
COG0782	8884	1982
COG0783	13	64
COG0784	5097	1698
COG0785	294	21
COG0786	552	427
COG0787	10026	2399
COG0788	2815	131
COG0789	4724	1752
COG0790	10481	1290
COG0791	8846	4121
COG0792	1842	671
COG0793	24271	7068
COG0794	4336	772
COG0795	11996	2237
COG0796	5834	1341
COG0797	3104	548
COG0799	3633	789
