	SRR1927149	SRR1929485
K00684	96014	40870
K00687	1080	0
K00688	1872552	378894
K00689	175	846
K00690	34472	30121
K00691	8246	0
K00692	9299	4667
K00694	193848	30482
K00695	5659	0
K00696	3710	1496
K00697	1602	11528
K00699	388	608
K00700	1405644	223749
K00701	4116	2739
K00702	459061	147047
K00703	940165	154693
K00705	1740790.5	367372
K00712	48913	52903
K00718	4396	4348
K00720	4882	190
K00721	503635	132503
K00727	1516	98
K00728	113891	7521
K00729	2396	2189
K00737	5752	1048
K00743	421	98
K00745	36485	13271
K00748	572576	118252
K00750	0	3728
K00752	4565	11776
K00754	408004	33932
K00756	147005	64004
K00757	234172	84058
K00758	1418	10416
K00759	318931	63308
K00760	228895	75643
K00761	437590	105720
K00762	461868	115255
K00763	329789	112210
K00764	1239486	288867
K00765	435359.5	78023
K00766	221723	72511
K00767	407372	59391
K00768	299083	60606
K00769	92679	5946
K00772	38558	15782
K00773	772251	164440
K00782	99324	33810
K00783	278561	58757
K00784	423030	131124
K00786	380363	103845
K00788	277693	91297
K00789	1023963	220003
K00790	810435	199792
K00791	793914	184432
K00793	335663	60988
K00794	247266	45409
K00795	243803	9022
K00796	411010	94708
K00797	69698	38182
K00798	51847	17310
K00799	8340	24848
K00800	752559	146788
K00801	328546	13539
K00803	62919	28195
K00805	83660	27615
K00806	496507	119062
K00809	79211	31500
K00812	592114	178423
K00813	559	10848
K00817	605047	127263
K00818	936	0
K00820	1290123	268519
K00821	755145	141701
K00823	34468	13732
K00824	62239	15358
K00826	776030	158430
K00830	86086	7384
K00831	786150	161199
K00832	329801	40214
K00833	419249	40581
K00835	35110	21312
K00836	2294	2388
K00838	3637	665
K00840	1882	6667
K00841	696	489
K00844	60391	21371
K00845	1040889	260530
K00847	752080	187114
K00848	292456	89735
K00849	656175	184344
K00850	618817	127875
K00851	3066	7265
K00852	193849	44534
K00853	523881	127941
K00854	570489	150835
K00855	1264	11051
K00856	91116	25150
K00857	202364	72983
K00858	484527	99421
K00859	412460	70680
K00860	9726	9573
K00863	27439	2609
K00864	241338	139004
K00865	268659	100997
K00867	212386	13042
K00868	329186	85563
K00869	1578	665
K00872	263963	23014
K00873	1096188	168077
K00874	491242	162923
K00875	478	9682
K00876	860574	283294
K00878	90409	54217
K00879	10799	20376
K00880	956	9372
K00881	2067	9908
K00882	86215	57294
K00883	3419	7760
K00884	4155	8951
K00885	294	5837
K00886	206253	2107
K00887	5193	2337
K00891	324379	82386
K00892	937	10436
K00894	941	0
K00895	334568	89634
K00897	11061	199
K00899	6109	1987
K00901	101254	8980
K00903	139518	21038
K00906	1458	13237
K00907	264	1053
K00912	480345	85523
K00917	43281	11196
K00919	514335	102133
K00925	886683	200602
K00926	71109	38204
K00927	919727.5	223057.5
K00928	898476	168567
K00929	263155	50292
K00930	441829	101642
K00931	513141	105391
K00932	1368	13362
K00936	37127	22157
K00937	876099	206154
K00939	456607	113939
K00940	135415	22994
K00941	458070	140406
K00942	557905	101223
K00943	327663	60270
K00945	803308	207554
K00946	480157	79606
K00948	826548	155048
K00949	182596	49195
K00950	370146	54389
K00951	2261474.5	528213
K00952	0	3025
K00953	1369	2366
K00954	360058	73134
K00955	7775	1501
K00956	73235	59122
K00957	234644	41395
K00958	1665	365
K00960	7579	1105
K00962	1800168	444718
K00963	292736	57922
K00965	279752	63505
K00966	30634	11191
K00967	16459	21663
K00968	125778	19371
K00969	475239	108127
K00970	601786	118318
K00971	741264	197635
K00972	46672	26789
K00973	766829	213700
K00974	572984	102667
K00975	1249308	164524
K00978	224351	19240
K00979	423551	49678
K00980	76171	14157
K00981	627077	126955
K00982	694368	25760
K00983	28201	1568
K00984	5691	0
K00986	2042311	635302
K00989	14835	21278
K00990	736277	29371
K00991	459378	115641
K00992	309553	24371
K00995	306297	77689
K00996	140689	43599
K00997	26679	13383
K00998	397432	18818
K01000	886667	200137
K01002	472514	49124
K01006	1419728	505745
K01007	86266	46605
K01008	50251	19837
K01011	407	5377
K01012	473117	87944
K01023	9453	1132
K01026	6866	15115
K01028	26849	6314
K01034	18238	9547
K01035	24900	11841
K01039	4342	2973
K01040	2506	1230
K01042	4034	8951
K01046	83190	26668
K01048	472630	72683
K01051	1100424	192318.5
K01054	17206	4696
K01055	8516	808
K01056	347936	87655
K01058	9462	15073
K01060	129343	41634
K01061	3087	18209
K01062	5457	451
K01066	189337	28528
K01067	48424	19083
K01068	2668	0
K01069	427420	132598
K01070	7827	16151
K01071	131578	37478
K01073	7310	0
K01077	595044	82719
K01079	387773	16566
K01081	184559	51770
K01082	4351	6361
K01085	2787	10025
K01087	881	7802
K01089	378562	47460
K01090	59650	9651
K01091	1326010	188157
K01092	256156	28125
K01093	1212	9881
K01095	64459	23932
K01096	2107	11873
K01101	2139	1248
K01104	354868	82233
K01113	37307	9695
K01118	25090	11788
K01119	378037	153109
K01120	632	388
K01121	21779	2411
K01125	54272	2036
K01126	451445	211868
K01129	540646	157507
K01130	336546	117484
K01132	251	875
K01133	15169	4962
K01134	55291	7162
K01136	2367	228
K01137	7156	1865
K01138	499269	120913
K01139	701238.5	29908
K01141	21539	13296
K01142	299876	106363
K01143	224	4642
K01144	338424	133052
K01146	414	6705
K01147	732901	30177
K01150	263862	8685
K01151	296873	36809.5
K01152	813	140
K01153	4284369	672641
K01154	2148003	287991
K01155	798251	161046
K01156	998905	387349
K01159	383918	71211
K01160	19852	8932
K01161	1752	0
K01163	116470	40518
K01167	700	0
K01169	671	6565
K01170	592	187
K01173	401924	114574
K01174	41474	7179
K01175	33262	10937
K01176	3051072	292667
K01179	1451731	430082
K01181	534405	126425
K01182	186808	36947
K01183	129658	49273
K01184	132449	31485
K01185	398295	160615
K01186	196591	52094
K01187	1588014	481072
K01188	1563	0
K01190	4472762	1386780
K01191	223957	105325
K01192	387334	71938
K01193	132519	46479
K01194	4258	24384
K01195	83124	45542
K01196	437	1078
K01197	384509	25392
K01198	308881	108349.5
K01200	3055856	136458
K01201	102443	51490
K01205	337486	66363
K01206	764046	187569
K01207	447795	109252
K01208	364107	43945
K01209	1312445	384564.5
K01210	4136	233
K01213	121511	20730
K01214	1162130	53096
K01215	16222	12689
K01216	113243	21097
K01218	436921	86446
K01219	25161	7524
K01220	12906	3121
K01222	51895	13848
K01223	59457	78205
K01224	375325	140686
K01226	46020	48026
K01227	56266	17148
K01228	4709	159
K01232	15227	37640
K01233	1893	0
K01235	160594	67362
K01236	428902	2220
K01239	29335	6865
K01241	13290	13367
K01243	334683	61802
K01244	11906	0
K01246	83164	40177
K01247	127520	10386
K01250	601	6666
K01251	145261	41419
K01252	695	5457
K01255	628940	100880
K01256	579279	27232
K01258	591466	184553
K01259	95170	33108
K01261	15994	4355
K01262	1475886	294884
K01265	710240	128109
K01266	50393	14204
K01267	287054	93469
K01269	50960	15333
K01270	995416	229176
K01271	115873	31421
K01273	376564	105193
K01277	412355	112634
K01278	1331284	301752
K01283	14840	1240
K01284	803831	263623
K01286	100819	68672
K01294	7598	1221
K01295	98957	30282
K01297	40867	17765
K01299	70074	5619
K01301	1488	1727
K01302	5200	1733
K01303	208949	76005
K01304	20973	1233
K01305	63307	27181
K01308	58895	8194
K01322	36316	9159
K01337	1905	608
K01338	2583459	436750
K01349	6040	0
K01354	2569	19113
K01356	415429	121866
K01358	811419	142419
K01361	483528	28840
K01364	252261	144626
K01365	7853	1435
K01369	5206	0
K01372	673836	227150
K01373	766	0
K01392	60754	28603
K01393	1769	391
K01400	35597	947
K01405	10162	1084
K01407	2773	28096
K01408	94441	25283
K01409	661654	142649
K01412	2642	1074
K01414	591249	21149
K01419	74943	21129
K01420	258947	39450
K01421	209799	116010
K01424	344393	101783
K01425	27859	16960
K01426	14713	13942
K01428	370502	6270
K01429	78814	1011
K01430	59885	1297
K01432	24408	14053
K01433	243197	11098
K01436	80761	52213
K01438	534414	106645
K01439	537131	80007
K01442	269387	102516
K01443	531126	98583
K01444	803	161
K01447	375571	114131
K01448	1293659	338301
K01449	102483	30935
K01451	13083	1977
K01452	14101	8713
K01455	59814	2329
K01458	2182	46
K01460	3801	17768
K01462	485322	113792
K01463	13287	4677
K01464	75872	15454
K01465	769000	140346
K01466	4846	12717
K01467	9839	11892
K01468	176855	26219
K01470	71890	6885
K01473	5791	2360
K01474	18	418
K01476	34965	7962
K01478	58676	10225
K01479	14137	2446
K01480	113930	29064
K01482	5459	1144
K01483	667	4353
K01484	840	6286
K01485	72991	33485
K01486	173691	75735
K01487	82312	39699
K01488	117546	51987
K01489	198714	60324
K01491	625588	112762
K01492	3119	175
K01493	301838	62041
K01494	131655	18917
