	SRR1927149	SRR1929485
COG0233	911.13	241.39
COG0234	850.216	228.063
COG0235	886.6725	297.3345
COG0236	1531.232	318.855
COG0237	733.5535	162.557
COG0238	820.228	199.966
COG0239	406.065	60.841
COG0240	723.212	219.23
COG0241	606.058833333333	96.1391666666667
COG0242	1050.9515	271.794
COG0243	79.727	128.097
COG0244	1038.164	266.037
COG0245	737.6965	156.535
COG0246	876.62	416.0675
COG0247	558.68	198.419
COG0248	628.198	182.328
COG0249	2350.71633333333	967.510333333333
COG0250	1129.492	295.756
COG0251	718.574	184.547
COG0252	459.066	154.785
COG0253	721.765999999999	194.9385
COG0254	791.211	188.838
COG0255	755.769	194.951
COG0256	1040.803	289.121
COG0257	324.461	113.689
COG0258	655.221	248.6865
COG0259	230.56	9.112
COG0260	507.749	39.797
COG0261	923.615	260.256
COG0262	601.2125	127.759
COG0263	679.614	201.916
COG0264	1230.209	406.903
COG0265	1458.271	335.445
COG0266	344.593	37.279
COG0267	547.004	158.522
COG0268	570.888	118.249
COG0269	3.5415	19.2655
COG0270	2729.671	517.199
COG0271	1.959	10.714
COG0272	1076.1345	436.279
COG0274	603.0535	232.3645
COG0275	851.756999999999	309.42
COG0276	3.534	8.087
COG0277	540.2365	177.3455
COG0278	4.548	7.043
COG0279	486.086333333333	62.5586666666667
COG0280	1142.132	374.9045
COG0281	673.078	135.54
COG0282	1123.42	373.265
COG0283	739.1745	241.516
COG0284	749.487	182.528
COG0285	771.029	227.297
COG0286	3090.556	575.6425
COG0287	375.003	106.767
COG0288	182.079	53.84
COG0289	728.072	223.001
COG0290	955.182	264.579
COG0291	834.105	241.18
COG0292	991.447	269.987
COG0293	296.348	36.526
COG0294	662.075	206.219
COG0295	493.198	168.9115
COG0296	1376.967	342.0775
COG0297	908.496999999999	209.372
COG0298	1.232	15.761
COG0299	221.406	86.545
COG0300	436.307	125.186
COG0301	419.78	117.2085
COG0302	555.559	131.857
COG0303	100.91	54.959
COG0304	2036.6065	429.4185
COG0305	1089.27	384.2025
COG0306	287.341	56.942
COG0307	552.598	133.772
COG0308	288.4535	24.552
COG0309	61.273	41.982
COG0310	31.787	20.683
COG0311	274.796	102.439
COG0312	933.498	150.5135
COG0313	843.747	273.689
COG0314	2.514	5.944
COG0315	67.665	33.485
COG0316	143.5895	31.217
COG0317	2109.974	659.707000000001
COG0318	1434.70666666667	346.6975
COG0319	823.739	235.856
COG0320	25.583	20.308
COG0321	1.502	10.301
COG0322	1182.261	418.07
COG0323	984.951	347.217
COG0324	1092.479	314.042
COG0325	796.574	183.765
COG0326	1301.038	398.535
COG0327	651.812	175.872
COG0328	556.4215	105.0395
COG0329	1025.98	294.423
COG0330	1494.231	321.151
COG0331	651.397	215.999
COG0332	899.207	176.589
COG0333	511.245	104.363
COG0334	1108.353	339.854
COG0335	960.029	253.77
COG0336	855.119	205.056
COG0337	710.341	188.8905
COG0338	558.874	180.368
COG0339	1051.321	309.101
COG0340	655.3355	206.22
COG0341	948.9515	273.1905
COG0342	914.7935	292.6815
COG0343	915.117	274.2595
COG0344	252.635	130.789
COG0345	663.281000000001	169.254
COG0346	522	168.65
COG0347	1057.913	180.161
COG0348	580	243.8365
COG0349	199.254	15.607
COG0350	714.693	148.946
COG0351	460.125	156.331
COG0352	371.8135	132.1145
COG0353	727.564	203.596
COG0354	0.832	8.874
COG0355	521.768	89.063
COG0356	966.708	306.865
COG0357	691.68	172.373
COG0358	1321.073	427.643
COG0359	862.717	249.263
COG0360	899.566	207.949
COG0361	881.917	248.509
COG0362	46.523	25.28
COG0363	943.165	394.0675
COG0364	3.469	9.375
COG0365	725.474	280.022
COG0366	4930.58849999999	1379.7045
COG0367	857.74	274.64
COG0368	323.034	52.086
COG0369	1.151	12.289
COG0370	1927.467	685.946
COG0371	227.815	125.708
COG0372	744.258	166.079
COG0373	121.904	67.971
COG0374	8.653	33.355
COG0375	9.434	27.962
COG0376	0.799	8.578
COG0377	247.981	106.403
COG0378	291.172	43.828
COG0379	496.523	105.966
COG0380	1.124	8.09
COG0381	529.798	197.638
COG0382	363.617	116.109
COG0383	305.028	183.891
COG0384	33.415	14.827
COG0385	678.914	168.5075
COG0386	148.053	59.425
COG0387	1.687	10.342
COG0388	1489.78	443.16
COG0389	1279.797	451.722
COG0390	29.439	15.131
COG0391	73.262	55.894
COG0392	85.115	54.015
COG0393	97.3	70.892
COG0394	542.05	158.642
COG0395	1322.278	326.61
COG0396	591.376	227.447
COG0397	0.494	8.872
COG0398	118.056	58.955
COG0399	1400.661	449.818
COG0400	3.568	10.826
COG0401	5.126	12.277
COG0402	583.158	264.064
COG0403	215.4575	63.9425
COG0404	251.8285	84.199
COG0405	280.79	31.748
COG0406	747.7245	231.0795
COG0407	13.488	12.878
COG0408	1.514	5.826
COG0409	5.205	12.256
COG0410	657.86	171.123
COG0411	373.154	145.772
COG0412	7.589	41.581
COG0413	508.935	100.913
COG0414	483.636	94.876
COG0415	2.215	12.941
COG0416	512.789	121.904
COG0417	24.746	8.48
COG0418	3.811	10
COG0419	870.738	342.637
COG0420	505.07	163.578
COG0421	105.61	59.846
COG0422	587.008	242.794
COG0423	943.931	401.131
COG0424	689.713	147.599
COG0425	379.172	47.927
COG0426	879.799	356.7265
COG0427	566.809	306.119
COG0428	781.574	282.672
COG0429	14.493	12.893
COG0430	0.497	15.733
COG0431	1.995	18.672
COG0432	140.992	64.465
COG0433	261.748	81.735
COG0434	37.794	8.513
COG0435	28.477	10.967
COG0436	2763.866	955.487999999999
COG0437	36.231	88.189
COG0438	2647.80466666667	916.923666666667
COG0439	592.45	93.746
COG0440	689.339	141.69
COG0441	1663.2265	622.0545
COG0442	1200.752	480.736
COG0443	1959.311	773.771
COG0444	800.3065	229.3285
COG0445	1118.586	427.331
COG0446	729.3205	264.784166666667
COG0447	413.651	81.062
COG0448	1213.922	220.071
COG0449	1244.001	420.733
COG0450	162.911	39.614
COG0451	2783.443	848.057
COG0452	721.255	204.602
COG0454	1223.5205	237.881
COG0455	381.757	42.973
COG0456	603.846	116.1315
COG0457	955.6755	331.3465
COG0458	2422.771	947.6515
COG0459	1447.958	542.907
COG0460	581.54	231.8815
COG0461	743.32	198.341
COG0462	1011.342	240.544
COG0463	5411.4065	1683.6855
COG0464	1151.262	231.3
COG0465	1675.728	557.931
COG0466	1301.002	435.339
COG0468	1136.807	373.323
COG0469	909.6595	189.3145
COG0470	609.435	154.431
COG0471	1480.866	521.209
COG0472	1274.146	445.39
COG0473	849.076	251.689
COG0474	1399.603	633.377
COG0475	728.936	322.193
COG0476	541.448	143.713
COG0477	1489.573	566.939
COG0479	668.119	168.19
COG0480	5007.47	1832.166
COG0481	1212.854	421.14
COG0482	785.798	225.753
COG0483	306.69	44.765
COG0484	1008.198	347.707
COG0486	879.768	242.579
COG0488	3458.205	1348.714
COG0489	1353.4005	562.005000000001
COG0490	1.345	0.6705
COG0491	949.095	250.8985
COG0492	867.5465	256.11
COG0493	1670.87791666667	597.354583333333
COG0494	2879.313	598.8775
COG0495	1665.472	684.613
COG0496	579.706	102.289
COG0497	902.296	343.625
COG0498	975.486	267.533
COG0499	226.376	68.155
COG0500	2995.74383333334	731.336
COG0501	1249.158	179.264
COG0502	526.617	116.494
COG0503	1405.154	361.674
COG0504	1203.357	392.431
COG0505	856.936	254.584
COG0506	2.1545	12.9945
COG0507	2273.257	1002.819
COG0508	126.056	57.992
COG0509	271.444	63.156
COG0510	55.8795	12.0465
COG0511	853.779	211.8325
COG0512	587.958	126.7345
COG0513	1593.194	522.137
COG0514	1579.629	763.619
COG0515	2315.8585	542.1715
COG0516	573.6375	183.269
COG0517	1050.13366666667	258.0195
COG0518	570.0555	159.8875
COG0519	593.9255	170.1865
COG0520	761.372999999999	306.502
COG0521	48.693	39.526
COG0522	1149.808	316.299
COG0523	920.024	247.869
COG0524	2274.009	847.558
COG0525	1569.742	620.215
COG0526	2779.3245	836.344
COG0527	1296.1695	371.7665
COG0528	895.746	231.915
COG0529	15.476	11.3465
COG0530	296.714	119.28
COG0531	416.973	271.625
COG0532	1517.919	693.425
COG0533	861.41	298.379
COG0534	7507.66049999999	2498.622
COG0535	816.487	307.335
COG0536	908.0935	283.2245
COG0537	812.554	180.937
COG0538	819.298	237.766
COG0539	1235.432	434.992
COG0540	828.173	234.712
COG0541	1070.604	368.273
COG0542	2762.685	1044.563
COG0543	874.466	310.941
COG0544	1216.03	407.423
COG0545	1691.252	457.7225
COG0546	1795.633	356.419
COG0547	438.232	193.6095
COG0548	820.1065	216.744
COG0549	135.957	70.445
COG0550	3159.86033333333	1194.82116666667
COG0551	451.558333333333	146.982666666667
COG0552	911.368000000001	275.679
COG0553	1247.256	376.2225
COG0554	366.731	231.604
COG0555	17.915	27.651
COG0556	1125.411	417.831
COG0557	1173.177	446.478
COG0558	670.642	218.193
COG0559	744.316	187.149
COG0560	881.3135	150.3095
COG0561	1306.929	569.304999999999
COG0562	322.909	122.301
COG0563	877.607	224.687
COG0564	2809.5055	814.732
COG0565	255.997	44.37
COG0566	1461.402	439.92
COG0567	3.248	16.691
COG0568	1980.314	650.366
COG0569	1249.513	449.451
COG0571	793.374	164.566
COG0572	769.8655	312.7095
COG0573	506.2735	114.5775
COG0574	1460.463	618.9455
COG0575	839.613	184.382
COG0576	897.166	274.248
COG0577	2168.1705	856.741
COG0578	106.965	69.676
COG0579	187.099	94.421
COG0580	104.303	67.322
COG0581	512.2505	124.6935
COG0582	5238.7715	1720.08
COG0583	1779.1515	566.3955
COG0584	791.5805	351.3655
COG0585	18.205	7.619
COG0586	471.739	120.646
COG0587	1861.3295	603.163999999999
COG0588	157.86	77.973
COG0589	574.7165	139.7565
COG0590	827.056	252.595
COG0591	1212.5615	340.575
COG0592	986.318	276.851
COG0593	1357.462	338.35
COG0594	501.093	89.329
COG0595	417.099	218.08
COG0596	1072.034	204.381
COG0597	584.974	112.431
COG0598	814.987	208.33
COG0599	354.5815	68.251
COG0600	373.737	68.674
COG0601	1030.598	268.466
COG0602	875.289	213.452
COG0603	420.332	109.685
COG0604	166.808	20.075
COG0605	228.108	19.84
COG0606	657.293	342.505
COG0607	793.6975	101.463666666667
COG0608	1010.6795	258.7235
COG0609	862.382	211.338
COG0610	1824.697	378.148
COG0611	534.753	145.38
COG0612	1685.712	765.407
COG0613	491.544	129.47
COG0614	656.3535	163.753
COG0615	293.67	75.5855
COG0616	888.299	163.945
COG0617	1087.64566666667	289.008333333333
COG0618	845.325166666667	247.986833333333
COG0619	525.049	161.451
COG0620	675.319	193.555
COG0621	2548.457	860.417000000001
COG0622	656.372	148.636
COG0623	298.358	154.439
COG0624	1643.777	440.813
COG0625	13.57	77.852
COG0626	428.936	111.289
COG0627	147.764	42.706
COG0628	1148.047	392.139
COG0629	1274.535	401.344
COG0630	20.893	11.884
COG0631	746.15	164.984
COG0632	735.435	194.114
COG0633	2.4615	20.0295
COG0634	510.7045	190.814
COG0635	1027.277	334.976
COG0636	664.378	156.749
COG0637	1063.0895	327.5445
COG0639	471.5405	78.5766666666667
COG0640	770.0415	159.826
COG0641	887.117	344.797
COG0642	2821.567	1189.898
COG0643	535.6515	125.7215
COG0644	30.242	68.015
COG0645	1.007	0
COG0646	529.2095	198.296
COG0647	297.797	85.716
COG0648	405.369	57.693
COG0649	201.2755	90.4775
COG0650	36.831	39.92
COG0651	242.694	111.647
COG0652	1082.01	312.6575
COG0653	1798.736	674.637000000001
COG0654	3.122	30.071
COG0655	712.582	199.457
COG0656	1044.958	274.365
COG0657	912.866	292.998
COG0658	351.999	150.9845
COG0659	735.87	198.071
COG0661	42.375	53.367
COG0662	140.0165	63.3723333333333
COG0663	249.31	89.631
COG0664	1260.369	327.509
COG0665	88.7465	21.355
COG0666	327.293	151.951
COG0667	539.49	184.611
COG0668	1133.206	391.647
COG0669	854.564	211.351
COG0670	302.494	177.578
COG0671	269.817	132.333
COG0672	4.648	10.868
COG0673	1372.0385	516.053
COG0674	1345.37883333333	553.053333333334
COG0675	9639.875	611.918
COG0676	7.787	8.645
COG0677	229.897	122.151
COG0679	551.009	179.154
COG0680	2.022	33.298
COG0681	1321.509	477.594
COG0682	909.022000000001	222.261
COG0683	759.14	175.6785
COG0684	16.035	10.821
COG0685	629.6025	175.335
COG0686	130.677	92.8
COG0687	855.8135	172.107
COG0688	608.047	139.093
COG0689	32.931	31.088
COG0690	310.534	33.675
COG0691	717.569	200.122
COG0692	602.756	158.038
COG0693	619.721	148.782
COG0694	209.173	29.96
COG0695	5.556	26.896
COG0696	1154.778	338.596
COG0697	2395.233	680.892
COG0698	532.94	206.0365
COG0699	110.084	48.479
COG0700	326.7335	98.2205
COG0701	22.483	18.07
COG0702	12.81	57.547
COG0703	653.891499999999	184.167
COG0704	296.876	91.01
COG0705	731.251	155.051
