	SRR1927149	SRR1929485
COG0272	1302650.5	316779
COG0274	347320.5	113114
COG0275	608504	164025
COG0276	2107	7788
COG0277	756649.5	122096.5
COG0278	1351	2451
COG0279	287634	30650.3333333333
COG0280	978189	204037
COG0281	730881.5	113930.5
COG0282	888051	213307
COG0283	402887	100097
COG0284	407447	99171
COG0285	719683	132861
COG0286	3046140.5	405892.5
COG0287	293300.5	65018.5
COG0288	83101	25297
COG0289	436354	105044
COG0290	445349	113584
COG0291	157086	45216
COG0292	313146	80375
COG0293	189849	20749
COG0294	447639	96853
COG0295	198278	63269.5
COG0296	1841886.5	236622
COG0297	940526	154693
COG0298	312	4013
COG0299	112686	46486
COG0300	269530	58134
COG0301	432259.5	65270
COG0302	323649	62519
COG0303	68680	35747
COG0304	1994300.5	298704.5
COG0305	1139120	293433
COG0306	319445	55759
COG0307	335283	60760
COG0308	632493	31885
COG0309	36694	22115
COG0310	14256	9806
COG0311	123026	41125
COG0312	1277117	173815.5
COG0313	559783	140637
COG0314	769	2584
COG0315	31468	16162
COG0316	82872.5	12209.5
COG0317	2878147	548577
COG0318	1532700.83333333	250485.333333333
COG0319	361223	75636
COG0320	16678	13690
COG0321	964	6613
COG0322	1145791	280115
COG0323	1314428	237389
COG0324	793926	184696
COG0325	505270	85614
COG0326	1329836	271604
COG0327	417452	83115.5
COG0328	251351.5	40798.5
COG0329	725583	152929
COG0330	1193183	185819
COG0331	507171	109919
COG0332	664993	112695
COG0333	93968	18007
COG0334	1031466	243365
COG0335	321580	82472
COG0336	554876	109136
COG0337	640271	121925
COG0338	384408.5	88234.5
COG0339	1464996	314861
COG0340	464290	109866
COG0341	859201	173202.5
COG0342	1145739	214250.5
COG0343	776402	165635.5
COG0344	113631	52768
COG0345	397315	77540
COG0346	205049	59011
COG0347	421690	75658.5
COG0348	422693	170159.5
COG0349	221250	13495
COG0350	317961	60364.5
COG0351	398118.5	86343
COG0352	298929	58835
COG0353	384648	84927
COG0354	816	8705
COG0355	213425	31902
COG0356	737637	158556
COG0357	397738	84979
COG0358	1762312	393003
COG0359	368334	100880
COG0360	289680	58258
COG0361	191871	53968
COG0362	45233	14908
COG0363	735441.5	250438.5
COG0364	2815	11929
COG0365	763783	170064
COG0366	8080123	978412
COG0367	957915	179559
COG0368	228020	28295
COG0369	1244	10271
COG0370	2138064	489999
COG0371	161024.5	69049
COG0372	773137	111743
COG0373	67658	45691
COG0374	6281	30352
COG0375	2554	8995
COG0376	1742	18709
COG0377	110277	35339
COG0378	170273	21824
COG0379	441003	88680
COG0380	1602	11528
COG0381	394183	127729
COG0382	211855	51457
COG0383	241031	146000
COG0384	13247	10067
COG0385	559164.5	93894
COG0386	66259	21068
COG0387	1857	11386
COG0388	1325969.5	276313.5
COG0389	1092066.5	281722
COG0390	18819	9672
COG0391	53924	43577
COG0392	55456	35668.5
COG0393	25129	16264
COG0394	227637	60148
COG0395	827011	179758
COG0396	297907	119119
COG0397	710	12749
COG0398	65846	38191
COG0399	1086228	281013
COG0400	1617	6238
COG0401	815	1952
COG0402	491735	180710
COG0403	227518	47770
COG0404	208332	49630.5
COG0405	365916	24691
COG0406	388746	96105
COG0407	4726	8841
COG0408	1363	5243
COG0409	3092	9281
COG0410	349764	75251
COG0411	196307.5	64859
COG0412	3087	18209
COG0413	346655	49790
COG0414	366110	60300
COG0415	960	8487
COG0416	413166	77202
COG0417	36712	17485
COG0418	3693	10318
COG0419	1163227	208146
COG0420	440993	87002
COG0421	65457	36870
COG0422	619673	131739
COG0423	672450	232294
COG0424	373900	72589
COG0425	108318	23519.5
COG0426	554469	182317.5
COG0427	408068	193597
COG0428	386481	117249
COG0429	13672	6377
COG0430	182	4649
COG0431	1140	10657
COG0432	55798	27089
COG0433	239833	97570
COG0434	20399	4410
COG0435	14867	10617
COG0436	2272061	571848
COG0437	18257	53612
COG0438	2348955.5	671911
COG0439	673007	76592.3333333333
COG0440	324831	61890
COG0441	1779135.5	474327
COG0442	1193094	312748
COG0443	1872847	536489
COG0444	670290	135746.5
COG0445	1452178	303458
COG0446	641110	172749.666666667
COG0447	317344	40812
COG0448	1250352	164740
COG0449	1302914	268292
COG0450	89799	18135.5
COG0451	2054886.5	493256
COG0452	627849	125936
COG0454	548576.5	105900.5
COG0455	329704	30472
COG0456	264752	50205.5
COG0457	1001755	258038.166666667
COG0458	2362175	548240
COG0459	1327176	361399
COG0460	721296.5	154311.5
COG0461	434379	101515
COG0462	826605	155299
COG0463	4003703.5	1030777.5
COG0464	1433905	241813
COG0465	1897824	457232
COG0466	2259649	349786
COG0468	848824	210323
