	SRR1927149	SRR1929485
Acetatifactor	361	0
Agathobacter	608	749
Anaerobutyricum	219	202
Anaerostipes	371	4270
Anaerotignum	13	17
Blautia	987	453
Butyrivibrio	3596	213
Candidatus Choladousia	12	0
Candidatus Egerieimonas	15	1
Candidatus Galacturonibacter	93	26
Coprococcus	2427	2053
Cuneatibacter	44	11
Dorea	614	178
Eisenbergiella	209	1
Enterocloster	67	22
Faecalicatena	70	4
Faecalimonas	33949	437
Fusicatenibacter	81	76
Hominisplanchenecus	11	1
Jingyaoa	86	8
Kineothrix	200	8
Lachnoanaerobaculum	27	10
Lachnobacterium	3909	408
Lachnoclostridium	725	164
Lachnospira	367	473
Lachnospiraceae bacterium (no genus in NCBI)	149797	19446
Mediterraneibacter	244	384
Oribacterium	1991	811
Pararoseburia	72	2
Pseudobutyrivibrio	49	12
Roseburia	34034	7989
Sellimonas	52	2
Simiaoa	29	0
Tyzzerella	143	10
Unclassified Lachnospiraceae	297385	39150
Variimorphobacter	0	11
Wansuia	33	0
Lawsonibacter	333	97
Acetivibrio	162	12
Agathobaculum	198	67
Anaerotruncus	134	183
Angelakisella	367	315
Candidatus Faeciplasma	105	12
Drancourtella	5	1
Dysosmobacter	1503	491
Faecalibacterium	172896	140355
Flavonifractor	808	113
Fournierella	56	15
Hydrogenoanaerobacterium	16	9
Massiliimalia	35	7
Oscillibacter	13066	5637
Oscillospiraceae bacterium (no genus in NCBI)	76879	50825
Phocea	14	2
Pseudoflavonifractor	1289	178
Pusillibacter	7	0
Ruminiclostridium	32448	355
Ruminococcaceae bacterium (no genus in NCBI)	1444	476
Ruminococcus	50872	10051
Ruthenibacterium	497	60
Subdoligranulum	2748	255
Thermoclostridium	0	26
Unclassified Oscillospiraceae	431899	105145
Vescimonas	354	93
Unclassified Peptococcaceae	55	26
Clostridioides	579	240
Paeniclostridium	172	245
Peptostreptococcaceae bacterium (no genus in NCBI)	31	3
Romboutsia	49	29
Unclassified Peptostreptococcaceae	56	31
Pumilibacter	9	0
Unclassified Eubacteriales	1960369	436428
Yeguia	455	136
Mahella	27	2
Unclassified Clostridia	270090	112841
Catenibacterium	626	45
Coprobacillus	15	0
Kandleria	82	0
Unclassified Coprobacillaceae	155	7
Amedibacillus	41	112
Erysipelotrichaceae bacterium (no genus in NCBI)	904	217
Holdemanella	138	732
Holdemania	167	49
Intestinibaculum	14	8
Longicatena	8	12
Solobacterium	149	298
Unclassified Erysipelotrichaceae	747	294
Unclassified Erysipelotrichales	717	171
Unclassified Erysipelotrichia	56	18
Firmicutes bacterium (no genus in NCBI)	116024	38882
Acidaminococcaceae bacterium (no genus in NCBI)	551	77
Phascolarctobacterium	338875	47675
Unclassified Acidaminococcaceae	16305	1864
Unclassified Acidaminococcales	1371	142
Negativicutes bacterium (no genus in NCBI)	15	2
Anaerovibrio	6251	5786
Megamonas	0	33
Mitsuokella	107	2740
Schwartzia	0	18
Selenomonadaceae bacterium (no genus in NCBI)	1681	973
Selenomonas	1673	899
Unclassified Selenomonadaceae	15350	13632
Selenomonadales bacterium (no genus in NCBI)	1109	17
Unclassified Selenomonadales	6584	4598
Unclassified Negativicutes	124848	102893
Unclassified Veillonellales	68	35
Dialister	22463	173930
Megasphaera	166	163
Unclassified Veillonellaceae	2031	3220
Veillonella	92	10
Veillonellaceae bacterium (no genus in NCBI)	40273	39637
Gallicola	26	0
