	SRR1927149	SRR1929485
Unclassified Elusimicrobium	99	23
Unclassified Elusimicrobiaceae	7076	2145
Unclassified Elusimicrobiales	1228	330
Unclassified Elusimicrobia	11545	2283
Unclassified Fibrobacter	25	92
Unclassified Fibrobacterales	23	4
Unclassified Fibrobacteria	0	158
Unclassified Fibrobacteres	12	6
Unclassified Bacillus	11	13
Unclassified Bacillaceae	9	0
Unclassified Exiguobacterium	12	13
Unclassified Paenibacillus	87	26
Unclassified Paenibacillaceae	80	0
Unclassified Staphylococcus	30	21
Unclassified Bacillales	306	41
Bacilli bacterium	363	329
Unclassified Atopostipes	36	4
Enterococcus faecium	74	58
Unclassified Enterococcaceae	12	5
Unclassified Lacticaseibacillus	12	0
Unclassified Lactiplantibacillus	19	0
Lactobacillus sp.	40	0
Unclassified Lactobacillus	0	41
Ligilactobacillus ruminis	6	87
Unclassified Lactobacillaceae	32	31
Lactococcus lactis	169	80
Streptococcus equi	29	0
Streptococcus parasanguinis	13	5
Streptococcus sp.	18	420
Streptococcus suis	4	1
Unclassified Streptococcus	75	158
Unclassified Lactobacillales	102	80
Unclassified Bacilli	2635	1461
Unclassified Candidatus Borkfalkiales	47	0
Candidatus Merdicola faecigallinarum	0	13
Clostridia bacterium	10484	3073
Unclassified Candidatus Avimonoglobus	9	0
Unclassified Candidatus Faecivicinus	12	0
Candidatus Faecousia faecipullorum	16	2
Unclassified Candidatus Faecousia	16	1
Candidatus Fimimorpha faecalis	29	0
Unclassified Candidatus Limiplasma	36	10
Candidatus Pelethousia gallinarum	18	0
Unclassified Candidatus Pelethousia	26	3
Candidatus Scatomorpha gallistercoris	20	0
Unclassified Candidatus Scatomorpha	362	28
Christensenella sp.	8	0
Unclassified Christensenella	60	0
Christensenellaceae bacterium	5570	121
Unclassified Christensenellaceae	2260	57
Butyricicoccus faecihominis	20	0
Butyricicoccus intestinisimiae	214	2542
Butyricicoccus porcorum	27	12
Butyricicoccus sp.	733	297
Unclassified Butyricicoccus	1628	4348
Clostridiaceae bacterium	1624	531
Clostridium bornimense	17	1
Clostridium indicum	97	0
Clostridium perfringens	5	10
Unclassified Clostridium	18625	11044
[Clostridium] sp.	51749	24179
Falcatimonas sp.	816	6
Unclassified Falcatimonas	56	9
Hungatella hathewayi	10	15
Unclassified Hungatella	81	5
Natronincola sp.	34	0
Unclassified Paraclostridium	5	4
Unclassified Clostridiaceae	3054	1989
Clostridiales bacterium	91426	17822
Unclassified Colidextribacter	162	4
Unclassified Sporotomaculum	26	7
Eubacteriaceae bacterium	994	3
Eubacterium coprostanoligenes	5835	3688
Eubacterium ramulus	49	14
Eubacterium sp.	8927	18713
Eubacterium ventriosum	28	0
Unclassified Eubacterium	7281	9209
Intestinibacillus massiliensis	4	44
Unclassified Eubacteriaceae	225	106
Unclassified Bacilliculturomica	142	41
Casaltella massiliensis	51	58
Unclassified Casaltella	7	16
Unclassified Emergencia	175	0
Lentihominibacter faecis	11	0
Unclassified Mobilibacterium	0	14
Mogibacterium sp.	163	22
Unclassified Mogibacterium	352	2
Unclassified Eubacteriales Family XIII. Incertae Sedis	19	0
Eubacteriales bacterium	829	121
Unclassified Evtepia	1	2
Unclassified Feifania	21	5
Flintibacter sp.	25	1
Unclassified Flintibacter	76	1
Candidatus Gemmiger excrementavium	28	20
Gemmiger formicilis	251	8
Gemmiger sp.	60	12
Unclassified Gemmiger	330	26
Intestinimonas butyriciproducens	300	112
Intestinimonas massiliensis	211	118
Intestinimonas sp.	16	27
Unclassified Intestinimonas	30	5
Unclassified Acetatifactor	361	0
Agathobacter sp.	489	518
Unclassified Agathobacter	119	231
Anaerobutyricum hallii	70	111
Unclassified Anaerobutyricum	149	91
Anaerostipes caccae	13	3
